chr	start	end	ID_amplicon	GC_content	mappability_score
chr5	16794670	16794939	AMPL230305	0.6518518518518518	1
chr5	24593197	24593440	AMPL230306	0.3073770491803279	1
chr5	31302040	31302309	AMPL230307	0.3888888888888889	1
chr5	34807679	34807948	AMPL230308	0.437037037037037	1
chr5	37016930	37017197	AMPL230309	0.27238805970149255	1
chr5	37721013	37721282	AMPL230310	0.39629629629629626	1
chr5	40716267	40716513	AMPL230311	0.42914979757085026	1
chr5	44809048	44809297	AMPL230312	0.6759999999999999	1
chr5	50057484	50057752	AMPL230313	0.3420074349442379	1
chr5	61645770	61645993	AMPL230314	0.3035714285714286	1
chr5	68715161	68715421	AMPL230315	0.49808429118773945	1
chr5	82817612	82817876	AMPL230316	0.4188679245283019	1
chr5	89948797	89949066	AMPL230317	0.34814814814814815	1
chr5	101709009	101709235	AMPL230318	0.31718061674008813	1
chr5	112162650	112162879	AMPL230319	0.32173913043478264	1
chr5	112899500	112899769	AMPL230320	0.40740740740740744	1
chr5	114573403	114573651	AMPL230321	0.36947791164658633	0.8500594377510041
chr5	122130755	122130999	AMPL230322	0.34285714285714286	1
chr5	132435116	132435322	AMPL230323	0.3429951690821256	1
chr5	135382739	135383008	AMPL230324	0.5111111111111111	1
chr5	145523616	145523861	AMPL230325	0.36585365853658536	1
chr5	158204179	158204448	AMPL230326	0.38148148148148153	1
chr5	169461344	169461594	AMPL230327	0.5896414342629482	1
chr5	177422665	177422934	AMPL230328	0.5703703703703704	1
chr6	348669	348938	AMPL230329	0.5444444444444444	1
chr6	7585785	7586054	AMPL230330	0.5777777777777777	1
chr6	11755084	11755350	AMPL230331	0.46441947565543074	1
chr6	17637652	17637921	AMPL230332	0.4111111111111111	1
chr6	21201307	21201536	AMPL230333	0.4391304347826087	1
chr6	28359083	28359346	AMPL230334	0.4204545454545454	1
chr6	31549161	31549430	AMPL230335	0.5629629629629629	1
chr6	31549448	31549646	AMPL230336	0.6381909547738693	1
chr6	31549942	31550201	AMPL230337	0.6269230769230769	1
chr6	36823357	36823626	AMPL230338	0.45185185185185184	1
chr6	41773328	41773597	AMPL230339	0.5592592592592592	1
chr6	46867549	46867818	AMPL230340	0.4	1
chr6	49668206	49668462	AMPL230341	0.41245136186770426	1
chr6	55739307	55739576	AMPL230342	0.4629629629629629	1
chr6	66044730	66044969	AMPL230343	0.29583333333333334	1
chr6	76420847	76421116	AMPL230344	0.3296296296296296	1
chr6	84627496	84627765	AMPL230345	0.3555555555555555	1
chr6	96986360	96986620	AMPL230346	0.3716475095785441	1
chr6	102307075	102307344	AMPL230347	0.362962962962963	1
chr6	111696621	111696877	AMPL230348	0.36964980544747084	1
chr6	119228507	119228773	AMPL230349	0.37827715355805247	1
chr6	131995994	131996262	AMPL230350	0.30855018587360594	1
chr6	138724577	138724846	AMPL230351	0.6925925925925926	1
chr6	139497899	139498168	AMPL230352	0.5037037037037038	1
chr6	149699956	149700225	AMPL230353	0.437037037037037	1
chr6	151152737	151153005	AMPL230354	0.5836431226765799	1
chr6	160224770	160225039	AMPL230355	0.4740740740740741	1
chr6	167549942	167550211	AMPL230356	0.5148148148148148	1
chr7	302749	302990	AMPL230357	0.6033057851239669	0.6558252066115703
chr7	4959591	4959828	AMPL230358	0.6554621848739496	1
chr7	11580905	11581155	AMPL230359	0.42629482071713143	1
chr7	15666224	15666486	AMPL230360	0.3802281368821293	1
chr7	19156336	19156527	AMPL230361	0.609375	1
chr7	23213604	23213864	AMPL230362	0.4061302681992337	1
chr7	27833858	27834100	AMPL230363	0.34156378600823045	1
chr7	32584124	32584392	AMPL230364	0.33085501858736055	1
chr7	40036928	40037197	AMPL230365	0.3296296296296296	1
chr7	44259623	44259890	AMPL230366	0.6417910447761195	1
chr7	50530860	50531129	AMPL230367	0.5444444444444445	1
chr7	55980163	55980432	AMPL230368	0.4185185185185185	1
chr7	63602199	63602468	AMPL230369	0.48148148148148145	0.8811111111111112
chr7	76111893	76112117	AMPL230370	0.6222222222222222	0.5955555555555555
chr7	83590614	83590875	AMPL230371	0.4351145038167939	1
chr7	89856381	89856646	AMPL230372	0.40601503759398494	1
chr7	98460585	98460843	AMPL230373	0.5791505791505791	1
chr7	106799782	106800022	AMPL230374	0.3568464730290456	1
chr7	117234812	117235080	AMPL230375	0.3011152416356877	1
chr7	127221909	127222178	AMPL230376	0.4740740740740741	1
chr7	132192086	132192336	AMPL230377	0.5577689243027888	1
chr7	137128590	137128854	AMPL230378	0.35094339622641507	1
chr7	143042596	143042857	AMPL230379	0.6717557251908397	1
chr7	149556268	149556537	AMPL230380	0.5629629629629629	1
chr8	401214	401455	AMPL230381	0.37603305785123964	1
chr8	3253524	3253789	AMPL230382	0.4699248120300752	1
chr8	6793335	6793601	AMPL230383	0.4269662921348315	1
chr8	11162273	11162535	AMPL230384	0.4106463878326996	1
chr8	17159436	17159703	AMPL230385	0.39925373134328357	1
chr8	20110101	20110370	AMPL230386	0.6111111111111112	1
chr8	23106483	23106752	AMPL230387	0.4703703703703703	1
chr8	24774547	24774816	AMPL230388	0.4555555555555556	1
chr8	29197534	29197723	AMPL230389	0.631578947368421	1
chr8	33246593	33246862	AMPL230390	0.46296296296296297	1
chr8	37730271	37730540	AMPL230391	0.5111111111111111	1
chr8	41574989	41575241	AMPL230392	0.6047430830039526	1
chr8	48777006	48777257	AMPL230393	0.49603174603174605	1
chr8	57892438	57892707	AMPL230394	0.37037037037037035	1
chr8	66620150	66620380	AMPL230395	0.4242424242424242	1
chr8	72965769	72966038	AMPL230396	0.4444444444444444	1
chr8	86389156	86389425	AMPL230397	0.4185185185185185	1
chr8	95888066	95888335	AMPL230398	0.337037037037037	1
chr8	105509739	105510008	AMPL230399	0.37407407407407406	1
chr8	113662153	113662412	AMPL230400	0.28076923076923077	1
chr8	120582784	120583052	AMPL230401	0.2788104089219331	1
chr8	126369774	126370035	AMPL230402	0.4312977099236641	1
chr8	128750505	128750733	AMPL230403	0.6200873362445415	1
chr8	139697278	139697521	AMPL230404	0.5450819672131147	1
chr8	146015538	146015807	AMPL230405	0.5629629629629629	1
chr9	2811264	2811530	AMPL230406	0.5168539325842696	1
chr9	5081531	5081800	AMPL230407	0.3296296296296296	1
chr9	8389119	8389388	AMPL230408	0.3888888888888889	1
chr9	14775731	14775925	AMPL230409	0.46153846153846156	1
chr9	18504672	18504941	AMPL230410	0.5333333333333333	1
chr9	19471753	19472022	AMPL230411	0.5222222222222221	1
chr9	22447529	22447718	AMPL230412	0.6894736842105263	1
chr9	27202626	27202895	AMPL230413	0.3851851851851852	1
chr9	33026343	33026599	AMPL230414	0.38521400778210113	1
chr9	36169351	36169620	AMPL230415	0.4962962962962963	1
chr9	37974500	37974764	AMPL230416	0.6113207547169811	1
chr9	43849601	43849870	AMPL230417	0.48518518518518516	0.4305555555555556
chr9	67298305	67298574	AMPL230418	0.4	0.49351814814814815
chr9	69238035	69238304	AMPL230419	0.34814814814814815	0.48025407407407406
chr9	75545637	75545905	AMPL230420	0.4275092936802974	1
chr9	79985818	79986087	AMPL230421	0.39629629629629626	1
chr9	84607512	84607781	AMPL230422	0.4629629629629629	0.6046277777777779
chr9	89771387	89771643	AMPL230423	0.3891050583657587	1
chr9	95888626	95888878	AMPL230424	0.6363636363636364	1
chr9	100190545	100190814	AMPL230425	0.37777777777777777	1
chr9	107560584	107560853	AMPL230426	0.4629629629629629	1
chr9	117852773	117853042	AMPL230427	0.5777777777777777	1
chr9	127995911	127996100	AMPL230428	0.4631578947368421	1
chr9	133738050	133738312	AMPL230429	0.5513307984790875	1
chr9	139794675	139794944	AMPL230430	0.5407407407407407	1
chr9	140704205	140704474	AMPL230431	0.6111111111111112	0.7481466666666666
chr10	93712	93974	AMPL230432	0.5665399239543727	0.5259836501901141
chr10	1717120	1717389	AMPL230433	0.5111111111111112	0.8357959259259259
chr10	5496785	5497054	AMPL230434	0.40740740740740744	1
chr10	7762647	7762916	AMPL230435	0.437037037037037	1
chr10	11805129	11805398	AMPL230436	0.625925925925926	1
chr10	13653409	13653678	AMPL230437	0.35555555555555557	1
chr10	17110460	17110669	AMPL230438	0.3238095238095238	1
chr10	20290519	20290788	AMPL230439	0.4222222222222222	1
chr10	22605308	22605497	AMPL230440	0.6368421052631579	1
chr10	28228702	28228892	AMPL230441	0.4397905759162304	1
chr10	33015618	33015830	AMPL230442	0.29107981220657275	1
chr10	38407273	38407542	AMPL230443	0.3925925925925926	0.9555555555555556
chr10	43280843	43281110	AMPL230444	0.3843283582089552	0.9614425373134329
chr10	47000036	47000305	AMPL230445	0.6925925925925926	1
chr10	54074509	54074776	AMPL230446	0.6156716417910448	1
chr10	64945171	64945394	AMPL230447	0.38839285714285715	1
chr10	69773602	69773864	AMPL230448	0.3269961977186312	1
chr10	73455128	73455388	AMPL230449	0.6091954022988506	1
chr10	76855167	76855432	AMPL230450	0.5338345864661653	1
chr10	84745012	84745277	AMPL230451	0.45864661654135336	1
chr10	88730095	88730339	AMPL230452	0.6122448979591837	1
chr10	93607910	93608170	AMPL230453	0.3486590038314176	1
chr10	99219641	99219910	AMPL230454	0.4962962962962963	1
chr10	105940924	105941193	AMPL230455	0.46296296296296297	1
chr10	114200112	114200378	AMPL230456	0.35580524344569286	1
chr10	121551369	121551602	AMPL230457	0.4786324786324786	1
chr10	128974383	128974643	AMPL230458	0.5938697318007663	1
chr10	135000030	135000260	AMPL230459	0.6536796536796536	1
chr11	379523	379760	AMPL230460	0.6974789915966386	1
chr11	7324340	7324609	AMPL230461	0.5851851851851851	1
chr11	10555350	10555619	AMPL230462	0.3481481481481481	1
chr11	17418528	17418797	AMPL230463	0.6296296296296295	1
chr11	20104423	20104690	AMPL230464	0.48134328358208955	1
chr11	26705064	26705333	AMPL230465	0.45185185185185184	1
chr11	30353068	30353324	AMPL230466	0.39688715953307396	1
chr11	32125724	32125983	AMPL230467	0.4	0.8538461538461538
chr11	36458732	36458995	AMPL230468	0.4659090909090909	1
chr11	40137296	40137565	AMPL230469	0.43333333333333335	1
chr11	43471476	43471745	AMPL230470	0.437037037037037	1
chr11	48346777	48347046	AMPL230471	0.48518518518518516	1
chr11	56057951	56058220	AMPL230472	0.44814814814814813	1
chr11	62563762	62564031	AMPL230473	0.5259259259259259	1
chr11	67431871	67432110	AMPL230474	0.6541666666666667	1
chr11	73074176	73074445	AMPL230475	0.625925925925926	1
chr11	78369153	78369419	AMPL230476	0.6367041198501873	1
chr11	82921157	82921400	AMPL230477	0.3319672131147541	1
chr11	89028124	89028376	AMPL230478	0.40711462450592883	0.6600790513833992
chr11	92523111	92523380	AMPL230479	0.4740740740740741	1
chr11	103780208	103780477	AMPL230480	0.4111111111111111	1
chr11	108117611	108117868	AMPL230481	0.32558139534883723	1
chr11	108119562	108119825	AMPL230482	0.36363636363636365	1
chr11	108384001	108384263	AMPL230483	0.41825095057034223	1
chr11	114421625	114421894	AMPL230484	0.45925925925925926	1
chr11	120200518	120200787	AMPL230485	0.4222222222222222	1
chr11	125848024	125848282	AMPL230486	0.38223938223938225	1
chr11	134239500	134239723	AMPL230487	0.5133928571428571	1
chr12	311702	311971	AMPL230488	0.5888888888888888	1
chr12	2958262	2958517	AMPL230489	0.53515625	1
chr12	6076483	6076750	AMPL230490	0.49626865671641796	1
chr12	9833390	9833659	AMPL230491	0.3148148148148148	1
chr12	11244028	11244290	AMPL230492	0.3992395437262357	0.9226847908745247
chr12	14018585	14018798	AMPL230493	0.4719626168224299	1
chr12	16347096	16347333	AMPL230494	0.3739495798319328	1
chr12	20782666	20782928	AMPL230495	0.4828897338403042	1
chr12	25164117	25164386	AMPL230496	0.4111111111111111	1
chr12	25398060	25398324	AMPL230497	0.3547169811320755	1
chr12	27066801	27067045	AMPL230498	0.2979591836734694	1
chr12	30833230	30833499	AMPL230499	0.3296296296296296	1
chr12	33578866	33579135	AMPL230500	0.37777777777777777	1
chr12	39698502	39698751	AMPL230501	0.33599999999999997	1
chr12	47471489	47471742	AMPL230502	0.42913385826771655	1
chr12	54970206	54970475	AMPL230503	0.5407407407407407	1
chr12	63195571	63195808	AMPL230504	0.6512605042016807	1
chr12	72307371	72307640	AMPL230505	0.3296296296296296	1
chr12	85260605	85260874	AMPL230506	0.2962962962962963	1
chr12	88388221	88388490	AMPL230507	0.337037037037037	1
chr12	94972045	94972314	AMPL230508	0.5148148148148148	1
chr12	102158519	102158788	AMPL230509	0.42962962962962964	1
chr12	113645158	113645405	AMPL230510	0.3870967741935484	1
chr12	124934150	124934419	AMPL230511	0.6444444444444444	1
chr12	133624327	133624583	AMPL230512	0.35408560311284043	1
chr13	20220579	20220837	AMPL230513	0.3783783783783784	0.8687258687258688
chr13	23915115	23915366	AMPL230514	0.376984126984127	1
chr13	32605902	32606095	AMPL230515	0.41752577319587625	1
chr13	39266277	39266546	AMPL230516	0.45925925925925926	1
chr13	49950895	49951164	AMPL230517	0.3296296296296296	1
chr13	58207376	58207645	AMPL230518	0.5777777777777777	1
chr13	67799601	67799870	AMPL230519	0.49629629629629624	1
chr13	73342761	73342990	AMPL230520	0.30434782608695654	1
chr13	73349267	73349536	AMPL230521	0.3814814814814815	1
chr13	73354788	73355040	AMPL230522	0.37549407114624506	1
chr13	79940562	79940831	AMPL230523	0.4	1
chr13	95117805	95118071	AMPL230524	0.48689138576779023	1
chr13	95235175	95235409	AMPL230525	0.35744680851063826	1
chr13	100861374	100861640	AMPL230526	0.3370786516853933	1
chr13	108863196	108863465	AMPL230527	0.3740740740740741	1
chr13	115091230	115091499	AMPL230528	0.37777777777777777	1
chr14	19553552	19553817	AMPL230529	0.5977443609022557	0.2568251879699248
chr14	25101900	25102169	AMPL230530	0.537037037037037	1
chr14	36217610	36217870	AMPL230531	0.3869731800766284	0.8390804597701149
chr14	45478009	45478278	AMPL230532	0.37777777777777777	1
chr14	51204748	51205017	AMPL230533	0.3925925925925926	1
chr14	58838460	58838729	AMPL230534	0.3925925925925926	1
chr14	59112426	59112689	AMPL230535	0.5833333333333334	1
chr14	64573975	64574244	AMPL230536	0.3888888888888889	1
chr14	70175605	70175841	AMPL230537	0.5569620253164557	1
chr14	78197123	78197392	AMPL230538	0.34814814814814815	1
chr14	88904245	88904513	AMPL230539	0.3382899628252788	1
chr14	94914769	94915038	AMPL230540	0.5666666666666667	1
chr14	105407786	105408055	AMPL230541	0.5296296296296297	1
chr15	23686100	23686315	AMPL230542	0.5740740740740741	1
chr15	29544451	29544699	AMPL230543	0.3614457831325301	1
chr15	40589915	40590157	AMPL230544	0.5473251028806584	1
chr15	45059278	45059545	AMPL230545	0.40671641791044777	1
chr15	53994310	53994519	AMPL230546	0.38095238095238093	1
chr15	59963300	59963513	AMPL230547	0.32710280373831774	1
chr15	66420497	66420765	AMPL230548	0.6356877323420074	1
chr15	73541268	73541537	AMPL230549	0.4	1
chr15	80414808	80415077	AMPL230550	0.2962962962962963	1
chr15	86807525	86807791	AMPL230551	0.48689138576779023	1
chr15	94883872	94884137	AMPL230552	0.34962406015037595	1
chr15	102215674	102215941	AMPL230553	0.3955223880597015	1
chr16	396200	396456	AMPL230554	0.5291828793774319	1
chr16	3085200	3085420	AMPL230555	0.6380090497737556	1
chr16	5132419	5132668	AMPL230556	0.5840000000000001	0.7385312
chr16	9002023	9002292	AMPL230557	0.37777777777777777	1
chr16	12666222	12666489	AMPL230558	0.6343283582089552	1
chr16	14989261	14989520	AMPL230559	0.5346153846153846	0.3333
chr16	19067703	19067967	AMPL230560	0.569811320754717	1
chr16	21215163	21215432	AMPL230561	0.4	1
chr16	25137186	25137404	AMPL230562	0.4748858447488584	0.728310502283105
chr16	28354037	28354300	AMPL230563	0.5454545454545454	0.25092613636363637
chr16	31090984	31091233	AMPL230564	0.608	1
chr16	31131517	31131786	AMPL230565	0.5703703703703704	1
chr16	47143336	47143603	AMPL230566	0.3880597014925373	1
chr16	50816222	50816416	AMPL230567	0.3487179487179487	1
chr16	52473027	52473294	AMPL230568	0.5149253731343284	1
chr16	55601138	55601407	AMPL230569	0.4703703703703703	1
chr16	57786509	57786768	AMPL230570	0.7	1
chr16	65005594	65005863	AMPL230571	0.3925925925925926	1
chr16	66812606	66812820	AMPL230572	0.37209302325581395	1
chr16	68389523	68389792	AMPL230573	0.6666666666666667	1
chr16	72129962	72130224	AMPL230574	0.5133079847908746	1
chr16	77246707	77246896	AMPL230575	0.7	1
chr16	84115261	84115514	AMPL230576	0.5748031496062992	1
chr16	89259865	89260075	AMPL230577	0.6635071090047393	1
chr17	259943	260186	AMPL230578	0.6557377049180328	1
chr17	263566	263768	AMPL230579	0.6798029556650247	0.8241379310344829
chr17	2929144	2929413	AMPL230580	0.6185185185185185	1
chr17	5991097	5991365	AMPL230581	0.5464684014869888	1
chr17	6941899	6942168	AMPL230582	0.6	1
chr17	7573800	7574057	AMPL230583	0.6007751937984496	1
chr17	7576847	7577116	AMPL230584	0.5407407407407407	1
chr17	7577320	7577589	AMPL230585	0.562962962962963	1
chr17	7578333	7578557	AMPL230586	0.6266666666666667	1
chr17	7579233	7579502	AMPL230587	0.6037037037037036	1
chr17	8218077	8218325	AMPL230588	0.5903614457831325	1
chr17	10236229	10236498	AMPL230589	0.5444444444444445	1
chr17	11957994	11958263	AMPL230590	0.3111111111111111	0.9833333333333333
chr17	14095061	14095330	AMPL230591	0.4222222222222222	0.7037037037037037
chr17	15217257	15217526	AMPL230592	0.5	1
chr17	16842718	16842932	AMPL230593	0.5906976744186047	1
chr17	18775669	18775927	AMPL230594	0.31660231660231664	1
chr17	21319409	21319678	AMPL230595	0.5925925925925926	0.8166666666666667
chr17	26691319	26691588	AMPL230596	0.6074074074074074	1
chr17	31618519	31618761	AMPL230597	0.6995884773662551	1
chr17	37118925	37119189	AMPL230598	0.3283018867924528	1
chr17	43319648	43319837	AMPL230599	0.5789473684210527	1
chr17	46136063	46136332	AMPL230600	0.5481481481481482	1
chr17	53026684	53026932	AMPL230601	0.321285140562249	1
chr17	56357003	56357272	AMPL230602	0.6	1
chr17	61573523	61573784	AMPL230603	0.6068702290076335	1
chr17	67023335	67023604	AMPL230604	0.2962962962962963	1
chr17	71747108	71747377	AMPL230605	0.5259259259259259	1
chr17	75202107	75202376	AMPL230606	0.4037037037037037	1
chr17	80544789	80545058	AMPL230607	0.42962962962962964	1
chr18	334673	334922	AMPL230608	0.6839999999999999	1
chr18	690338	690607	AMPL230609	0.49629629629629624	1
chr18	2610582	2610849	AMPL230610	0.34328358208955223	1
chr18	3729137	3729365	AMPL230611	0.6550218340611353	1
chr18	6093181	6093387	AMPL230612	0.2995169082125604	1
chr18	6890208	6890465	AMPL230613	0.43410852713178294	1
chr18	8069618	8069887	AMPL230614	0.42962962962962964	1
chr18	9256271	9256531	AMPL230615	0.31034482758620685	1
chr18	10487689	10487938	AMPL230616	0.604	1
chr18	11752730	11752921	AMPL230617	0.5416666666666667	1
chr18	13116193	13116462	AMPL230618	0.37407407407407406	1
chr18	14532917	14533174	AMPL230619	0.375968992248062	0.22410038759689924
chr18	19995776	19996036	AMPL230620	0.421455938697318	0.7959747126436781
chr18	28662817	28663006	AMPL230621	0.32105263157894737	1
chr18	31684820	31685089	AMPL230622	0.35185185185185186	1
chr18	39620453	39620702	AMPL230623	0.352	1
chr18	42531208	42531467	AMPL230624	0.4769230769230769	1
chr18	48190540	48190803	AMPL230625	0.5984848484848485	1
chr18	52896030	52896294	AMPL230626	0.6150943396226415	1
chr18	59483162	59483431	AMPL230627	0.6481481481481481	1
chr18	65179014	65179283	AMPL230628	0.41481481481481486	1
chr18	70525882	70526147	AMPL230629	0.3157894736842105	1
chr18	72347240	72347509	AMPL230630	0.45925925925925926	1
chr18	77895010	77895264	AMPL230631	0.592156862745098	1
chr19	303160	303350	AMPL230632	0.4554973821989529	0.262665445026178
chr19	2834560	2834829	AMPL230633	0.5148148148148148	1
chr19	5831487	5831743	AMPL230634	0.6303501945525292	0.4934902723735409
chr19	8201129	8201369	AMPL230635	0.6556016597510373	1
chr19	10226053	10226306	AMPL230636	0.6338582677165354	1
chr19	13370280	13370525	AMPL230637	0.5528455284552846	1
chr19	16611516	16611785	AMPL230638	0.41481481481481486	1
chr19	18287824	18288089	AMPL230639	0.6240601503759398	1
chr19	19625381	19625629	AMPL230640	0.6987951807228916	1
chr19	20807179	20807386	AMPL230641	0.39903846153846156	0.7788461538461539
chr19	22363214	22363478	AMPL230642	0.41509433962264153	0.8509433962264151
chr19	24015453	24015714	AMPL230643	0.40076335877862596	1
chr19	30477088	30477325	AMPL230644	0.365546218487395	1
chr19	32927930	32928199	AMPL230645	0.42962962962962964	1
chr19	35616099	35616346	AMPL230646	0.6370967741935484	1
chr19	36213197	36213387	AMPL230647	0.6073298429319371	1
chr19	37642697	37642946	AMPL230648	0.46399999999999997	0.5
chr19	38382098	38382353	AMPL230649	0.48828125	1
chr19	40743779	40743972	AMPL230650	0.5824742268041236	1
chr19	44001219	44001451	AMPL230651	0.6223175965665235	1
