chr	start	end	ID_amplicon	GC_content	mappability_score	tot_reads	GC_content_cat	mappability_cat	median_tot_reads_GCcat	median_overall	corr_fact	tot_reads_GCcorr	ampl_median	cov_quality
chr1	150808640	150808909	AMPL230209	0.44074074074074077	1	3818667	0.45	1	2334349	1507632	0.6458468720829662	2466274.1374764442	191	ok
chr1	158532917	158533164	AMPL230210	0.532258064516129	1	963200	0.55	1	1327235	1507632	1.135919411407927	1094117.5770681154	41	ok
chr1	165377313	165377582	AMPL230211	0.5185185185185186	1	3694601	0.55	1	1327235	1507632	1.135919411407927	4196768.993307139	185	ok
chr1	167849167	167849436	AMPL230212	0.5259259259259259	1	9501573	0.55	1	1327235	1507632	1.135919411407927	10793021.20960945	489	ok
chr1	173878589	173878858	AMPL230213	0.5222222222222221	1	4965183	0.55	1	1327235	1507632	1.135919411407927	5640047.750892645	256	ok
chr1	182443213	182443482	AMPL230214	0.5074074074074074	1	9579559	0.55	1	1327235	1507632	1.135919411407927	10881607.02082751	519	high_cov_M500
chr1	196800797	196801066	AMPL230215	0.337037037037037	0.5	2231035	0.35	0.5	1485893	1507632	1.0146302593793766	2263675.620734467	87	ok
chr1	201046844	201047098	AMPL230216	0.607843137254902	1	1615321	0.65	1	891094	1507632	1.6918888467434412	2732943.583810462	80	ok
chr1	209782099	209782368	AMPL230217	0.5407407407407407	1	1315020	0.55	1	1327235	1507632	1.135919411407927	1493756.744389652	61	ok
chr1	222721050	222721311	AMPL230218	0.5381679389312977	1	2614743	0.55	1	1327235	1507632	1.135919411407927	2970137.3295429973	125	ok
chr1	229737925	229738193	AMPL230219	0.4684014869888476	1	4458734	0.5	1	2148899.5	1507632	0.7015832988001532	3128173.3081924026	231	ok
chr1	236700614	236700844	AMPL230220	0.35497835497835495	1	1216363	0.4	1	1837577	1507632	0.8204456194216623	997959.6949765914	32	ok
chr1	248039482	248039736	AMPL230221	0.4549019607843138	1	7727762	0.5	1	2148899.5	1507632	0.7015832988001532	5421668.756302469	417	ok
chr2	271792	272061	AMPL230222	0.4407407407407407	1	1818679	0.45	1	2334349	1507632	0.6458468720829662	1174588.143472977	88	ok
chr2	7023267	7023536	AMPL230223	0.37037037037037035	1	1698077	0.4	1	1837577	1507632	0.8204456194216623	1393179.8360906781	82	ok
chr2	11053507	11053769	AMPL230224	0.5931558935361216	1	1121077	0.6	1	1481156	1507632	1.017875227187413	1141116.5060695834	5	ok
chr2	18112479	18112748	AMPL230225	0.47777777777777775	1	2238379	0.5	1	2148899.5	1507632	0.7015832988001532	1570409.3227849882	110	ok
chr2	25063944	25064213	AMPL230226	0.6592592592592592	1	43398	0.7	1	395362	1507632	3.813295157349467	165489.38323865217	1	low_cov_m5
chr2	31560420	31560689	AMPL230227	0.5740740740740741	1	481560	0.6	1	1481156	1507632	1.017875227187413	490167.9944043706	21	ok
chr2	38178164	38178433	AMPL230228	0.42592592592592593	1	3131712	0.45	1	2334349	1507632	0.6458468720829662	2022606.3994646904	155	ok
chr2	44571445	44571699	AMPL230229	0.3058823529411765	1	1532845	0.35	1	1485893	1507632	1.0146302593793766	1555270.9199383804	74	ok
chr2	48906264	48906533	AMPL230230	0.3222222222222222	0.9555555555555556	2900011	0.35	1	1485893	1507632	1.0146302593793766	2942438.913133045	148	ok
chr2	55883087	55883356	AMPL230231	0.32222222222222224	1	1218488	0.35	1	1485893	1507632	1.0146302593793766	1236314.7954906577	56	ok
chr2	63086112	63086355	AMPL230232	0.3114754098360656	1	2999013	0.35	1	1485893	1507632	1.0146302593793766	3042889.338072122	149	ok
chr2	70315279	70315541	AMPL230233	0.6387832699619772	1	4546539	0.65	1	891094	1507632	1.6918888467434412	7692238.625384078	211	ok
chr2	75923181	75923425	AMPL230234	0.28979591836734697	1	569984	0.3	1	1076384.5	1507632	1.4006444723052032	798344.9389024089	18	ok
chr2	85554475	85554744	AMPL230235	0.5888888888888889	1	3121891	0.6	1	1481156	1507632	1.017875227187413	3177695.5108793397	151	ok
chr2	91635945	91636150	AMPL230236	0.674757281553398	0.7516169902912622	136972	0.7	0.8	395362	1507632	3.813295157349467	522314.6642924712	0	low_cov_m5
chr3	1363270	1363539	AMPL230237	0.4111111111111111	1	2330886	0.45	1	2334349	1507632	0.6458468720829662	1505395.4322819768	111	ok
chr3	7620740	7621009	AMPL230238	0.44074074074074077	1	885884	0.45	1	2334349	1507632	0.6458468720829662	572145.4104283465	41	ok
chr3	16305448	16305701	AMPL230239	0.35039370078740156	1	1196363	0.4	1	1837577	1507632	0.8204456194216623	981550.7825881582	56	ok
chr3	16419383	16419587	AMPL230240	0.5658536585365854	1	1472757	0.6	1	1481156	1507632	1.017875227187413	1499082.8659668528	67	ok
chr3	23930597	23930847	AMPL230241	0.33067729083665337	1	1827131	0.35	1	1485893	1507632	1.0146302593793766	1853862.4004500997	86	ok
chr3	31712144	31712413	AMPL230242	0.4703703703703703	1	2700477	0.5	1	2148899.5	1507632	0.7015832988001532	1894609.5619939414	134	ok
chr3	40285818	40286037	AMPL230243	0.5545454545454546	1	2293684	0.6	1	1481156	1507632	1.017875227187413	2334684.122596134	85	ok
chr3	46939699	46939968	AMPL230244	0.6222222222222222	1	237256	0.65	1	891094	1507632	1.6918888467434412	401410.7802229619	7	ok
chr3	47058890	47059159	AMPL230245	0.4666666666666667	1	1405517	0.5	1	2148899.5	1507632	0.7015832988001532	986087.253379695	63	ok
chr3	47125305	47125574	AMPL230246	0.44074074074074077	1	9927840	0.45	1	2334349	1507632	0.6458468720829662	6411864.410540155	516	high_cov_M500
chr3	47161644	47161906	AMPL230247	0.4448669201520913	1	2823453	0.45	1	2334349	1507632	0.6458468720829662	1823518.2885232673	140	ok
chr3	47165154	47165423	AMPL230248	0.3407407407407408	1	7468173	0.35	1	1485893	1507632	1.0146302593793766	7577434.308080057	402	ok
chr3	47165484	47165747	AMPL230249	0.5151515151515151	1	2402957	0.55	1	1327235	1507632	1.135919411407927	2729565.501078558	112	ok
chr3	53856436	53856693	AMPL230250	0.6356589147286822	1	146703	0.65	1	891094	1507632	1.6918888467434412	248205.16948380307	4	low_cov_m5
chr3	62262419	62262688	AMPL230251	0.3888888888888889	1	2723498	0.4	1	1837577	1507632	0.8204456194216623	2234482.003603658	134	ok
chr3	69150771	69151040	AMPL230252	0.36296296296296293	1	5318802	0.4	1	1837577	1507632	0.8204456194216623	4363787.801471177	276	ok
chr3	75718943	75719185	AMPL230253	0.6995884773662552	0.9917695473251029	26406788	0.7	1	395362	1507632	3.813295157349467	100696876.80155401	1367	high_cov_M500
chr3	85984728	85984997	AMPL230254	0.28888888888888886	1	1189616	0.3	1	1076384.5	1507632	1.4006444723052032	1666229.0745658267	51	ok
chr3	93733315	93733584	AMPL230255	0.31851851851851853	1	1054250	0.35	1	1485893	1507632	1.0146302593793766	1069673.9509507078	45	ok
chr3	102157090	102157359	AMPL230256	0.4111111111111111	1	6733580	0.45	1	2334349	1507632	0.6458468720829662	4348861.58092042	364	ok
chr3	111637757	111638002	AMPL230257	0.44715447154471544	1	2599258	0.45	1	2334349	1507632	0.6458468720829662	1678722.6490366266	132	ok
chr3	120495175	120495444	AMPL230258	0.45185185185185184	1	7652116	0.5	1	2148899.5	1507632	0.7015832988001532	5368596.786081433	406	ok
chr3	129286226	129286435	AMPL230259	0.6	1	259079	0.6	1	1481156	1507632	1.017875227187413	263710.09598448774	8	ok
chr3	138247899	138248155	AMPL230260	0.4046692607003891	1	3133132	0.45	1	2334349	1507632	0.6458468720829662	2023523.502023048	156	ok
chr3	146177605	146177835	AMPL230261	0.5151515151515151	1	1327235	0.55	1	1327235	1507632	1.135919411407927	1507632	63	ok
chr3	155481430	155481655	AMPL230262	0.3141592920353982	1	6594546	0.35	1	1485893	1507632	1.0146302593793766	6691025.918469231	332	ok
chr3	164725656	164725858	AMPL230263	0.2857142857142857	1	592188	0.3	1	1076384.5	1507632	1.4006444723052032	829444.8487654737	27	ok
chr3	173996519	173996773	AMPL230264	0.3607843137254902	1	2904484	0.4	1	1837577	1507632	0.8204456194216623	2382971.1744803074	143	ok
chr3	183211660	183211929	AMPL230265	0.45555555555555555	1	2484932	0.5	1	2148899.5	1507632	0.7015832988001532	1743386.7898540625	127	ok
chr3	192078005	192078274	AMPL230266	0.38888888888888884	1	2517926	0.4	1	1837577	1507632	0.8204456194216623	2065821.3567279084	128	ok
chr3	196674635	196674904	AMPL230267	0.6222222222222222	1	187184	0.65	1	891094	1507632	1.6918888467434412	316694.5218888243	7	ok
chr4	494021	494273	AMPL230268	0.43478260869565216	1	8031539	0.45	1	2334349	1507632	0.6458468720829662	5187144.341162355	406	ok
chr4	1805878	1806138	AMPL230269	0.6666666666666667	1	766688	0.7	1	395362	1507632	3.813295157349467	2923607.637597948	25	ok
chr4	1807733	1807951	AMPL230270	0.6484018264840182	1	20035	0.65	1	891094	1507632	1.6918888467434412	33896.993044504845	0	low_cov_m5
chr4	4249663	4249932	AMPL230271	0.6518518518518519	1	654254	0.7	1	395362	1507632	3.813295157349467	2494863.609876518	25	ok
chr4	8206833	8207102	AMPL230272	0.6666666666666667	1	692687	0.7	1	395362	1507632	3.813295157349467	2641419.98265893	28	ok
chr4	11401268	11401517	AMPL230273	0.6559999999999999	1	324125	0.7	1	395362	1507632	3.813295157349467	1235984.292875896	8	ok
chr4	15690229	15690498	AMPL230274	0.36296296296296293	0.9629629629629629	200295	0.4	1	1837577	1507632	0.8204456194216623	164331.15534206186	5	ok
chr4	17875793	17876062	AMPL230275	0.36296296296296293	1	1488966	0.4	1	1837577	1507632	0.8204456194216623	1221615.6321677947	67	ok
chr4	20512472	20512741	AMPL230276	0.337037037037037	1	3006598	0.35	1	1485893	1507632	1.0146302593793766	3050585.308589515	152	ok
chr4	25013746	25014000	AMPL230277	0.5019607843137255	1	2270459	0.55	1	1327235	1507632	1.135919411407927	2579058.4509058306	109	ok
chr4	26416905	26417174	AMPL230278	0.34814814814814815	1	1292092	0.35	1	1485893	1507632	1.0146302593793766	1310995.6411020174	58	ok
chr4	30725310	30725579	AMPL230279	0.4703703703703703	1	1058549	0.5	1	2148899.5	1507632	0.7015832988001532	742660.2993616035	23	ok
chr4	36121087	36121311	AMPL230280	0.28	1	1209613	0.3	1	1076384.5	1507632	1.4006444723052032	1694237.7620785136	55	ok
chr4	40337659	40337928	AMPL230281	0.4444444444444444	1	1500291	0.45	1	2334349	1507632	0.6458468720829662	968958.2495642254	65	ok
chr4	42414781	42415038	AMPL230282	0.46899224806201556	1	4796351	0.5	1	2148899.5	1507632	0.7015832988001532	3365039.7567834137	248	ok
chr4	48172037	48172296	AMPL230283	0.3192307692307692	1	1083940	0.35	1	1485893	1507632	1.0146302593793766	1099798.3233516815	48	ok
chr4	55133238	55133494	AMPL230284	0.43190661478599224	1	1160421	0.45	1	2334349	1507632	0.6458468720829662	749454.2731493877	56	ok
chr4	66279819	66280088	AMPL230285	0.4703703703703703	1	614588	0.5	1	2148899.5	1507632	0.7015832988001532	431184.67644298857	28	ok
chr4	75246545	75246814	AMPL230286	0.4	1	7092266	0.4	1	1837577	1507632	0.8204456194216623	5818818.571473195	389	ok
chr4	83799749	83800015	AMPL230287	0.36704119850187267	1	2561483	0.4	1	1837577	1507632	0.8204456194216623	2101557.5065730577	129	ok
chr4	90169878	90170147	AMPL230288	0.5111111111111111	1	897257	0.55	1	1327235	1507632	1.135919411407927	1019211.6433216423	42	ok
chr4	100125898	100126138	AMPL230289	0.37344398340248963	1	1187667	0.4	1	1837577	1507632	0.8204456194216623	974416.1874816674	56	ok
chr4	108614890	108615159	AMPL230290	0.4444444444444444	1	240925	0.45	1	2334349	1507632	0.6458468720829662	155600.65765658862	11	ok
chr4	114824367	114824633	AMPL230291	0.4269662921348315	1	952233	0.45	1	2334349	1507632	0.6458468720829662	614996.7045441791	31	ok
chr4	123328873	123329103	AMPL230292	0.3203463203463204	1	669278	0.35	1	1485893	1507632	1.0146302593793766	679069.7107369103	31	ok
chr4	129792582	129792851	AMPL230293	0.47777777777777775	1	1473545	0.5	1	2148899.5	1507632	0.7015832988001532	1033814.5620304719	71	ok
chr4	138449443	138449708	AMPL230294	0.3458646616541353	1	2464428	0.35	1	1485893	1507632	1.0146302593793766	2500483.220861798	123	ok
chr4	154479215	154479453	AMPL230295	0.38493723849372385	1	202812	0.4	1	1837577	1507632	0.8204456194216623	166396.21696614617	2	low_cov_m5
chr4	165889769	165890038	AMPL230296	0.33333333333333337	0.5592592592592592	3104627	0.35	0.6	1485893	1507632	1.0146302593793766	3150048.4982862156	158	ok
chr4	177060842	177061111	AMPL230297	0.3111111111111111	1	1105463	0.35	1	1485893	1507632	1.0146302593793766	1121636.2104243038	52	ok
chr4	185309994	185310259	AMPL230298	0.537593984962406	1	2018742	0.55	1	1327235	1507632	1.135919411407927	2293128.2244244614	93	ok
chr4	190878351	190878620	AMPL230299	0.3222222222222222	0.8111107407407407	1154744	0.35	0.9	1485893	1507632	1.0146302593793766	1171638.204236779	54	ok
chr5	181518	181787	AMPL230300	0.5518518518518518	1	706684	0.6	1	1481156	1507632	1.017875227187413	719316.1370497098	30	ok
chr5	5242032	5242295	AMPL230301	0.4545454545454546	1	888271	0.5	1	2148899.5	1507632	0.7015832988001532	623196.0984085109	40	ok
chr5	9154411	9154679	AMPL230302	0.5613382899628253	1	6305797	0.6	1	1481156	1507632	1.017875227187413	6418514.553972707	333	ok
chr5	10282259	10282448	AMPL230303	0.3894736842105263	1	439559	0.4	1	1837577	1507632	0.8204456194216623	360634.25602736644	17	ok
chr5	13718773	13719042	AMPL230304	0.4111111111111111	1	493108	0.45	1	2334349	1507632	0.6458468720829662	318472.2593990873	26	ok
chr5	16794670	16794939	AMPL230305	0.6518518518518518	1	1170425	0.7	1	395362	1507632	3.813295157349467	4463175.984540749	59	ok
chr5	24593197	24593440	AMPL230306	0.3073770491803279	1	1249192	0.35	1	1485893	1507632	1.0146302593793766	1267468.0029746422	58	ok
chr5	31302040	31302309	AMPL230307	0.3888888888888889	1	2097364	0.4	1	1837577	1507632	0.8204456194216623	1720773.1061326952	106	ok
chr5	34807679	34807948	AMPL230308	0.437037037037037	1	317219	0.45	1	2334349	1507632	0.6458468720829662	204874.89891528647	14	ok
chr5	37016930	37017197	AMPL230309	0.27238805970149255	1	680242	0.3	1	1076384.5	1507632	1.4006444723052032	952777.197129836	29	ok
chr5	37721013	37721282	AMPL230310	0.39629629629629626	1	4862502	0.4	1	1837577	1507632	0.8204456194216623	3989418.4653290715	247	ok
chr5	40716267	40716513	AMPL230311	0.42914979757085026	1	5717484	0.45	1	2334349	1507632	0.6458468720829662	3692619.157584406	287	ok
chr5	44809048	44809297	AMPL230312	0.6759999999999999	1	127991	0.7	1	395362	1507632	3.813295157349467	488067.46048431564	5	ok
chr5	50057484	50057752	AMPL230313	0.3420074349442379	1	258597	0.35	1	1485893	1507632	1.0146302593793766	262380.34118472866	12	ok
chr5	61645770	61645993	AMPL230314	0.3035714285714286	1	645305	0.35	1	1485893	1507632	1.0146302593793766	654745.9795288086	30	ok
chr5	68715161	68715421	AMPL230315	0.49808429118773945	1	4085314	0.5	1	2148899.5	1507632	0.7015832988001532	2866188.072754449	208	ok
chr5	82817612	82817876	AMPL230316	0.4188679245283019	1	1225746	0.45	1	2334349	1507632	0.6458468720829662	791644.2200682075	58	ok
chr5	89948797	89949066	AMPL230317	0.34814814814814815	1	551649	0.35	1	1485893	1507632	1.0146302593793766	559719.7679563737	25	ok
chr5	101709009	101709235	AMPL230318	0.31718061674008813	1	711605	0.35	1	1485893	1507632	1.0146302593793766	722015.9657256613	29	ok
chr5	112162650	112162879	AMPL230319	0.32173913043478264	1	3755213	0.35	1	1485893	1507632	1.0146302593793766	3810152.740214807	181	ok
chr5	112899500	112899769	AMPL230320	0.40740740740740744	1	1473272	0.45	1	2334349	1507632	0.6458468720829662	951508.1129274158	72	ok
chr5	114573403	114573651	AMPL230321	0.36947791164658633	0.8500594377510041	2136413	0.4	0.9	1837577	1507632	0.8204456194216623	1752810.6871254917	106	ok
chr5	122130755	122130999	AMPL230322	0.34285714285714286	1	1347097	0.35	1	1485893	1507632	1.0146302593793766	1366805.37851918	60	ok
chr5	132435116	132435322	AMPL230323	0.3429951690821256	1	768288	0.35	1	1485893	1507632	1.0146302593793766	779528.2527180625	35	ok
chr5	135382739	135383008	AMPL230324	0.5111111111111111	1	778610	0.55	1	1327235	1507632	1.135919411407927	884438.212916326	35	ok
chr5	145523616	145523861	AMPL230325	0.36585365853658536	1	1241139	0.4	1	1837577	1507632	0.8204456194216623	1018287.0556433825	61	ok
chr5	158204179	158204448	AMPL230326	0.38148148148148153	1	1565843	0.4	1	1837577	1507632	0.8204456194216623	1284689.030052074	77	ok
chr5	169461344	169461594	AMPL230327	0.5896414342629482	1	612444	0.6	1	1481156	1507632	1.017875227187413	623391.5756395679	24	ok
chr5	177422665	177422934	AMPL230328	0.5703703703703704	1	4597818	0.6	1	1481156	1507632	1.017875227187413	4680005.041316377	237	ok
chr6	348669	348938	AMPL230329	0.5444444444444444	1	6464072	0.55	1	1327235	1507632	1.135919411407927	7342664.861538461	327	ok
chr6	7585785	7586054	AMPL230330	0.5777777777777777	1	931407	0.6	1	1481156	1507632	1.017875227187413	948056.1117289468	42	ok
chr6	11755084	11755350	AMPL230331	0.46441947565543074	1	3933078	0.5	1	2148899.5	1507632	0.7015832988001532	2759381.837678309	192	ok
chr6	17637652	17637921	AMPL230332	0.4111111111111111	1	4667259	0.45	1	2334349	1507632	0.6458468720829662	3014334.626351073	236	ok
chr6	21201307	21201536	AMPL230333	0.4391304347826087	1	1421758	0.45	1	2334349	1507632	0.6458468720829662	918237.9571589339	62	ok
chr6	28359083	28359346	AMPL230334	0.4204545454545454	1	2452153	0.45	1	2334349	1507632	0.6458468720829662	1583715.3449188618	114	ok
chr6	31549161	31549430	AMPL230335	0.5629629629629629	1	1707122	0.6	1	1481156	1507632	1.017875227187413	1737637.1935866307	70	ok
chr6	31549448	31549646	AMPL230336	0.6381909547738693	1	728193	0.65	1	891094	1507632	1.6918888467434412	1232021.6149766466	32	ok
chr6	31549942	31550201	AMPL230337	0.6269230769230769	1	10231768	0.65	1	891094	1507632	1.6918888467434412	17311014.161666445	416	ok
chr6	36823357	36823626	AMPL230338	0.45185185185185184	1	3868347	0.5	1	2148899.5	1507632	0.7015832988001532	2713967.6491636764	196	ok
chr6	41773328	41773597	AMPL230339	0.5592592592592592	1	876618	0.6	1	1481156	1507632	1.017875227187413	892287.7459065756	37	ok
chr6	46867549	46867818	AMPL230340	0.4	1	3712062	0.4	1	1837577	1507632	0.8204456194216623	3045545.0069216145	191	ok
chr6	49668206	49668462	AMPL230341	0.41245136186770426	1	1763528	0.45	1	2334349	1507632	0.6458468720829662	1138969.0426307293	83	ok
chr6	55739307	55739576	AMPL230342	0.4629629629629629	1	1508504	0.5	1	2148899.5	1507632	0.7015832988001532	1058341.2125732263	70	ok
chr6	66044730	66044969	AMPL230343	0.29583333333333334	1	143963	0.3	1	1076384.5	1507632	1.4006444723052032	201640.98016647395	5	ok
chr6	76420847	76421116	AMPL230344	0.3296296296296296	1	1407130	0.35	1	1485893	1507632	1.0146302593793766	1427716.6768805021	66	ok
chr6	84627496	84627765	AMPL230345	0.3555555555555555	1	14843	0.4	1	1837577	1507632	0.8204456194216623	12177.874329075734	0	low_cov_m5
chr6	96986360	96986620	AMPL230346	0.3716475095785441	1	693220	0.4	1	1837577	1507632	0.8204456194216623	568749.3122954847	33	ok
chr6	102307075	102307344	AMPL230347	0.362962962962963	1	2463970	0.4	1	1837577	1507632	0.8204456194216623	2021553.3928863932	117	ok
chr6	111696621	111696877	AMPL230348	0.36964980544747084	1	2967390	0.4	1	1837577	1507632	0.8204456194216623	2434582.1266156463	161	ok
chr6	119228507	119228773	AMPL230349	0.37827715355805247	1	1250228	0.4	1	1837577	1507632	0.8204456194216623	1025744.085878306	58	ok
chr6	131995994	131996262	AMPL230350	0.30855018587360594	1	2633877	0.35	1	1485893	1507632	1.0146302593793766	2672411.303683374	135	ok
chr6	138724577	138724846	AMPL230351	0.6925925925925926	1	1357989	0.7	1	395362	1507632	3.813295157349467	5178412.877433845	60	ok
chr6	139497899	139498168	AMPL230352	0.5037037037037038	1	1862635	0.55	1	1327235	1507632	1.135919411407927	2115803.252867804	90	ok
chr6	149699956	149700225	AMPL230353	0.437037037037037	1	2006210	0.45	1	2334349	1507632	0.6458468720829662	1295704.4532415676	95	ok
chr6	151152737	151153005	AMPL230354	0.5836431226765799	1	1803948	0.6	1	1481156	1507632	1.017875227187413	1836193.9803342794	81	ok
chr6	160224770	160225039	AMPL230355	0.4740740740740741	1	658855	0.5	1	2148899.5	1507632	0.7015832988001532	462241.664330975	15	ok
chr6	167549942	167550211	AMPL230356	0.5148148148148148	1	2734890	0.55	1	1327235	1507632	1.135919411407927	3106614.6390654254	129	ok
chr7	302749	302990	AMPL230357	0.6033057851239669	0.6558252066115703	891094	0.65	0.7	891094	1507632	1.6918888467434412	1507632	40	ok
chr7	4959591	4959828	AMPL230358	0.6554621848739496	1	213702	0.7	1	395362	1507632	3.813295157349467	814908.8017158958	8	ok
chr7	11580905	11581155	AMPL230359	0.42629482071713143	1	4807057	0.45	1	2334349	1507632	0.6458468720829662	3104622.727374527	250	ok
chr7	15666224	15666486	AMPL230360	0.3802281368821293	1	753452	0.4	1	1837577	1507632	0.8204456194216623	618166.3928444902	12	ok
chr7	19156336	19156527	AMPL230361	0.609375	1	144767	0.65	1	891094	1507632	1.6918888467434412	244929.67267650776	3	low_cov_m5
chr7	23213604	23213864	AMPL230362	0.4061302681992337	1	2557660	0.45	1	2334349	1507632	0.6458468720829662	1651856.7108517194	126	ok
chr7	27833858	27834100	AMPL230363	0.34156378600823045	1	1205902	0.35	1	1485893	1507632	1.0146302593793766	1223544.659046109	58	ok
chr7	32584124	32584392	AMPL230364	0.33085501858736055	1	1947898	0.35	1	1485893	1507632	1.0146302593793766	1976396.252984569	95	ok
chr7	40036928	40037197	AMPL230365	0.3296296296296296	1	765294	0.35	1	1485893	1507632	1.0146302593793766	776490.4497214806	37	ok
chr7	44259623	44259890	AMPL230366	0.6417910447761195	1	2091072	0.65	1	891094	1507632	1.6918888467434412	3537861.394537501	89	ok
chr7	50530860	50531129	AMPL230367	0.5444444444444445	1	4233003	0.55	1	1327235	1507632	1.135919411407927	4808350.276247989	216	ok
chr7	55980163	55980432	AMPL230368	0.4185185185185185	1	1417683	0.45	1	2334349	1507632	0.6458468720829662	915606.1311551958	66	ok
chr7	63602199	63602468	AMPL230369	0.48148148148148145	0.8811111111111112	2554812	0.5	0.9	2148899.5	1507632	0.7015832988001532	1792413.430774217	112	ok
chr7	76111893	76112117	AMPL230370	0.6222222222222222	0.5955555555555555	2870501	0.65	0.6	891094	1507632	1.6918888467434412	4856568.626465894	116	ok
chr7	83590614	83590875	AMPL230371	0.4351145038167939	1	5949819	0.45	1	2334349	1507632	0.6458468720829662	3842671.990609802	288	ok
chr7	89856381	89856646	AMPL230372	0.40601503759398494	1	3237221	0.45	1	2334349	1507632	0.6458468720829662	2090749.057091292	157	ok
chr7	98460585	98460843	AMPL230373	0.5791505791505791	1	2781264	0.6	1	1481156	1507632	1.017875227187413	2830979.725868173	124	ok
chr7	106799782	106800022	AMPL230374	0.3568464730290456	1	1088073	0.4	1	1837577	1507632	0.8204456194216623	892704.7264609863	52	ok
chr7	117234812	117235080	AMPL230375	0.3011152416356877	1	1485893	0.35	1	1485893	1507632	1.0146302593793766	1507632	69	ok
chr7	127221909	127222178	AMPL230376	0.4740740740740741	1	7563731	0.5	1	2148899.5	1507632	0.7015832988001532	5306587.346216982	400	ok
chr7	132192086	132192336	AMPL230377	0.5577689243027888	1	9111487	0.6	1	1481156	1507632	1.017875227187413	9274356.90014016	456	ok
chr7	137128590	137128854	AMPL230378	0.35094339622641507	1	2098084	0.4	1	1837577	1507632	0.8204456194216623	1721363.8269786788	107	ok
chr7	143042596	143042857	AMPL230379	0.6717557251908397	1	257086	0.7	1	395362	1507632	3.813295157349467	980344.7988223451	10	ok
chr7	149556268	149556537	AMPL230380	0.5629629629629629	1	1319999	0.6	1	1481156	1507632	1.017875227187413	1343594.2820121578	61	ok
chr8	401214	401455	AMPL230381	0.37603305785123964	1	899490	0.4	1	1837577	1507632	0.8204456194216623	737982.630213591	40	ok
chr8	3253524	3253789	AMPL230382	0.4699248120300752	1	13157	0.5	1	2148899.5	1507632	0.7015832988001532	9230.731462313615	0	low_cov_m5
chr8	6793335	6793601	AMPL230383	0.4269662921348315	1	1507632	0.45	1	2334349	1507632	0.6458468720829662	973699.4114521865	72	ok
chr8	11162273	11162535	AMPL230384	0.4106463878326996	1	4258054	0.45	1	2334349	1507632	0.6458468720829662	2750050.8570603626	219	ok
chr8	17159436	17159703	AMPL230385	0.39925373134328357	1	2658753	0.4	1	1837577	1507632	0.8204456194216623	2181362.2519742027	134	ok
chr8	20110101	20110370	AMPL230386	0.6111111111111112	1	654666	0.65	1	891094	1507632	1.6918888467434412	1107622.1037421417	29	ok
