i	med	n_cl	diploid_cl	power	arm
AMPL230274/chr4:15690229-15690498/4p	5	2	KMM1|MM1S	0.08064516129032258	4p
AMPL230275/chr4:17875793-17876062/4p	28	2	KMM1|MM1S	0.45161290322580644	4p
AMPL230276/chr4:20512472-20512741/4p	142	2	KMM1|MM1S	2.2903225806451615	4p
AMPL230277/chr4:25013746-25014000/4p	83	2	KMM1|MM1S	1.3387096774193548	4p
AMPL230278/chr4:26416905-26417174/4p	46	2	KMM1|MM1S	0.7419354838709677	4p
AMPL230279/chr4:30725310-30725579/4p	10	2	KMM1|MM1S	0.16129032258064516	4p
AMPL230280/chr4:36121087-36121311/4p	39	2	KMM1|MM1S	0.6290322580645161	4p
AMPL230281/chr4:40337659-40337928/4p	48	2	KMM1|MM1S	0.7741935483870968	4p
AMPL230282/chr4:42414781-42415038/4p	224	2	KMM1|MM1S	3.6129032258064515	4p
AMPL230283/chr4:48172037-48172296/4p	36	2	KMM1|MM1S	0.5806451612903226	4p
AMPL230284/chr4:55133238-55133494/4q	37	2	KMM1|MM1S	0.5967741935483871	4q
AMPL230285/chr4:66279819-66280088/4q	14	2	KMM1|MM1S	0.22580645161290322	4q
AMPL230286/chr4:75246545-75246814/4q	257	2	KMM1|MM1S	4.145161290322581	4q
AMPL230287/chr4:83799749-83800015/4q	90	2	KMM1|MM1S	1.4516129032258065	4q
AMPL230288/chr4:90169878-90170147/4q	25	2	KMM1|MM1S	0.4032258064516129	4q
AMPL230289/chr4:100125898-100126138/4q	40	2	KMM1|MM1S	0.6451612903225806	4q
AMPL230290/chr4:108614890-108615159/4q	8	2	KMM1|MM1S	0.12903225806451613	4q
AMPL230291/chr4:114824367-114824633/4q	7	2	KMM1|MM1S	0.11290322580645161	4q
AMPL230292/chr4:123328873-123329103/4q	18	2	KMM1|MM1S	0.2903225806451613	4q
AMPL230293/chr4:129792582-129792851/4q	44	2	KMM1|MM1S	0.7096774193548387	4q
AMPL230294/chr4:138449443-138449708/4q	96	2	KMM1|MM1S	1.5483870967741935	4q
AMPL230297/chr4:177060842-177061111/4q	37	2	KMM1|MM1S	0.5967741935483871	4q
AMPL230298/chr4:185309994-185310259/4q	46	2	KMM1|MM1S	0.7419354838709677	4q
AMPL230299/chr4:190878351-190878620/4q	22	2	KMM1|MM1S	0.3548387096774194	4q
AMPL230300/chr5:181518-181787/5p	22	4	KMM1|MM1S|KMS11|OPM2	0.3548387096774194	5p
AMPL230301/chr5:5242032-5242295/5p	36	4	KMM1|MM1S|KMS11|OPM2	0.5806451612903226	5p
AMPL230302/chr5:9154411-9154679/5p	297	4	KMM1|MM1S|KMS11|OPM2	4.790322580645161	5p
AMPL230303/chr5:10282259-10282448/5p	11	4	KMM1|MM1S|KMS11|OPM2	0.1774193548387097	5p
AMPL230304/chr5:13718773-13719042/5p	26	4	KMM1|MM1S|KMS11|OPM2	0.41935483870967744	5p
AMPL230305/chr5:16794670-16794939/5p	54	4	KMM1|MM1S|KMS11|OPM2	0.8709677419354839	5p
AMPL230306/chr5:24593197-24593440/5p	60	4	KMM1|MM1S|KMS11|OPM2	0.967741935483871	5p
AMPL230307/chr5:31302040-31302309/5p	107	4	KMM1|MM1S|KMS11|OPM2	1.7258064516129032	5p
AMPL230308/chr5:34807679-34807948/5p	12	4	KMM1|MM1S|KMS11|OPM2	0.1935483870967742	5p
AMPL230309/chr5:37016930-37017197/5p	29	4	KMM1|MM1S|KMS11|OPM2	0.46774193548387094	5p
AMPL230310/chr5:37721013-37721282/5p	224	4	KMM1|MM1S|KMS11|OPM2	3.6129032258064515	5p
AMPL230311/chr5:40716267-40716513/5p	225	4	KMM1|MM1S|KMS11|OPM2	3.629032258064516	5p
AMPL230312/chr5:44809048-44809297/5p	4	4	KMM1|MM1S|KMS11|OPM2	0.06451612903225806	5p
AMPL230313/chr5:50057484-50057752/5q	9	4	KMM1|MM1S|KMS11|RPMI8226	0.14516129032258066	5q
AMPL230314/chr5:61645770-61645993/5q	25	4	KMM1|MM1S|KMS11|RPMI8226	0.4032258064516129	5q
AMPL230315/chr5:68715161-68715421/5q	195	4	KMM1|MM1S|KMS11|RPMI8226	3.1451612903225805	5q
AMPL230316/chr5:82817612-82817876/5q	51	4	KMM1|MM1S|KMS11|RPMI8226	0.8225806451612904	5q
AMPL230317/chr5:89948797-89949066/5q	25	4	KMM1|MM1S|KMS11|RPMI8226	0.4032258064516129	5q
AMPL230318/chr5:101709009-101709235/5q	28	4	KMM1|MM1S|KMS11|RPMI8226	0.45161290322580644	5q
AMPL230319/chr5:112162650-112162879/5q	168	4	KMM1|MM1S|KMS11|RPMI8226	2.7096774193548385	5q
AMPL230320/chr5:112899500-112899769/5q	66	4	KMM1|MM1S|KMS11|RPMI8226	1.064516129032258	5q
AMPL230321/chr5:114573403-114573651/5q	96	4	KMM1|MM1S|KMS11|RPMI8226	1.5483870967741935	5q
AMPL230322/chr5:122130755-122130999/5q	58	4	KMM1|MM1S|KMS11|RPMI8226	0.9354838709677419	5q
AMPL230323/chr5:132435116-132435322/5q	32	4	KMM1|MM1S|KMS11|RPMI8226	0.5161290322580645	5q
AMPL230324/chr5:135382739-135383008/5q	31	4	KMM1|MM1S|KMS11|RPMI8226	0.5	5q
AMPL230325/chr5:145523616-145523861/5q	56	4	KMM1|MM1S|KMS11|RPMI8226	0.9032258064516129	5q
AMPL230326/chr5:158204179-158204448/5q	70	4	KMM1|MM1S|KMS11|RPMI8226	1.1290322580645162	5q
AMPL230327/chr5:169461344-169461594/5q	22	4	KMM1|MM1S|KMS11|RPMI8226	0.3548387096774194	5q
AMPL230328/chr5:177422665-177422934/5q	226	4	KMM1|MM1S|KMS11|RPMI8226	3.6451612903225805	5q
AMPL230329/chr6:348669-348938/6p	328	4	MM1S|KMS11|OPM2|RPMI8226	5.290322580645161	6p
AMPL230330/chr6:7585785-7586054/6p	39	4	MM1S|KMS11|OPM2|RPMI8226	0.6290322580645161	6p
AMPL230331/chr6:11755084-11755350/6p	203	4	MM1S|KMS11|OPM2|RPMI8226	3.274193548387097	6p
AMPL230332/chr6:17637652-17637921/6p	234	4	MM1S|KMS11|OPM2|RPMI8226	3.774193548387097	6p
AMPL230333/chr6:21201307-21201536/6p	42	4	MM1S|KMS11|OPM2|RPMI8226	0.6774193548387096	6p
AMPL230334/chr6:28359083-28359346/6p	92	4	MM1S|KMS11|OPM2|RPMI8226	1.4838709677419355	6p
AMPL230335/chr6:31549161-31549430/6p	48	4	MM1S|KMS11|OPM2|RPMI8226	0.7741935483870968	6p
AMPL230336/chr6:31549448-31549646/6p	25	4	MM1S|KMS11|OPM2|RPMI8226	0.4032258064516129	6p
AMPL230337/chr6:31549942-31550201/6p	282	4	MM1S|KMS11|OPM2|RPMI8226	4.548387096774194	6p
AMPL230338/chr6:36823357-36823626/6p	181	4	MM1S|KMS11|OPM2|RPMI8226	2.9193548387096775	6p
AMPL230339/chr6:41773328-41773597/6p	30	4	MM1S|KMS11|OPM2|RPMI8226	0.4838709677419355	6p
AMPL230340/chr6:46867549-46867818/6p	164	4	MM1S|KMS11|OPM2|RPMI8226	2.6451612903225805	6p
AMPL230341/chr6:49668206-49668462/6p	76	4	MM1S|KMS11|OPM2|RPMI8226	1.2258064516129032	6p
AMPL230342/chr6:55739307-55739576/6p	65	4	MM1S|KMS11|OPM2|RPMI8226	1.0483870967741935	6p
AMPL230343/chr6:66044730-66044969/6q	3	2	KMM1|OPM2	0.04838709677419355	6q
AMPL230344/chr6:76420847-76421116/6q	69	2	KMM1|OPM2	1.1129032258064515	6q
AMPL230346/chr6:96986360-96986620/6q	40	2	KMM1|OPM2	0.6451612903225806	6q
AMPL230347/chr6:102307075-102307344/6q	127	2	KMM1|OPM2	2.0483870967741935	6q
AMPL230348/chr6:111696621-111696877/6q	182	2	KMM1|OPM2	2.935483870967742	6q
AMPL230349/chr6:119228507-119228773/6q	68	2	KMM1|OPM2	1.096774193548387	6q
AMPL230350/chr6:131995994-131996262/6q	139	2	KMM1|OPM2	2.2419354838709675	6q
AMPL230351/chr6:138724577-138724846/6q	53	2	KMM1|OPM2	0.8548387096774194	6q
AMPL230352/chr6:139497899-139498168/6q	87	2	KMM1|OPM2	1.403225806451613	6q
AMPL230353/chr6:149699956-149700225/6q	117	2	KMM1|OPM2	1.8870967741935485	6q
AMPL230354/chr6:151152737-151153005/6q	78	2	KMM1|OPM2	1.2580645161290323	6q
AMPL230355/chr6:160224770-160225039/6q	11	2	KMM1|OPM2	0.1774193548387097	6q
AMPL230356/chr6:167549942-167550211/6q	135	2	KMM1|OPM2	2.1774193548387095	6q
AMPL230358/chr7:4959591-4959828/7p	4	1	MM1S	0.06451612903225806	7p
AMPL230359/chr7:11580905-11581155/7p	168	1	MM1S	2.7096774193548385	7p
AMPL230360/chr7:15666224-15666486/7p	87	1	MM1S	1.403225806451613	7p
AMPL230362/chr7:23213604-23213864/7p	89	1	MM1S	1.435483870967742	7p
AMPL230363/chr7:27833858-27834100/7p	39	1	MM1S	0.6290322580645161	7p
AMPL230364/chr7:32584124-32584392/7p	67	1	MM1S	1.0806451612903225	7p
AMPL230365/chr7:40036928-40037197/7p	17	1	MM1S	0.27419354838709675	7p
AMPL230366/chr7:44259623-44259890/7p	34	1	MM1S	0.5483870967741935	7p
AMPL230367/chr7:50530860-50531129/7p	149	1	MM1S	2.403225806451613	7p
AMPL230368/chr7:55980163-55980432/7p	31	1	MM1S	0.5	7p
AMPL230369/chr7:63602199-63602468/7q	70	1	MM1S	1.1290322580645162	7q
AMPL230371/chr7:83590614-83590875/7q	193	1	MM1S	3.1129032258064515	7q
AMPL230372/chr7:89856381-89856646/7q	64	1	MM1S	1.032258064516129	7q
AMPL230373/chr7:98460585-98460843/7q	83	1	MM1S	1.3387096774193548	7q
AMPL230374/chr7:106799782-106800022/7q	29	1	MM1S	0.46774193548387094	7q
AMPL230375/chr7:117234812-117235080/7q	74	1	MM1S	1.1935483870967742	7q
AMPL230376/chr7:127221909-127222178/7q	225	1	MM1S	3.629032258064516	7q
AMPL230377/chr7:132192086-132192336/7q	247	1	MM1S	3.9838709677419355	7q
AMPL230378/chr7:137128590-137128854/7q	91	1	MM1S	1.467741935483871	7q
AMPL230379/chr7:143042596-143042857/7q	2	1	MM1S	0.03225806451612903	7q
AMPL230380/chr7:149556268-149556537/7q	37	1	MM1S	0.5967741935483871	7q
AMPL230381/chr8:401214-401455/8p	33	3	KMM1|MM1S|KMS11	0.532258064516129	8p
AMPL230383/chr8:6793335-6793601/8p	75	3	KMM1|MM1S|KMS11	1.2096774193548387	8p
AMPL230384/chr8:11162273-11162535/8p	190	3	KMM1|MM1S|KMS11	3.064516129032258	8p
AMPL230385/chr8:17159436-17159703/8p	121	3	KMM1|MM1S|KMS11	1.9516129032258065	8p
AMPL230386/chr8:20110101-20110370/8p	25	3	KMM1|MM1S|KMS11	0.4032258064516129	8p
AMPL230387/chr8:23106483-23106752/8p	30	3	KMM1|MM1S|KMS11	0.4838709677419355	8p
AMPL230388/chr8:24774547-24774816/8p	33	3	KMM1|MM1S|KMS11	0.532258064516129	8p
AMPL230389/chr8:29197534-29197723/8p	8	3	KMM1|MM1S|KMS11	0.12903225806451613	8p
AMPL230390/chr8:33246593-33246862/8p	82	3	KMM1|MM1S|KMS11	1.3225806451612903	8p
AMPL230392/chr8:41574989-41575241/8p	159	3	KMM1|MM1S|KMS11	2.564516129032258	8p
AMPL230393/chr8:48777006-48777257/8q	98	3	KMM1|MM1S|KMS11	1.5806451612903225	8q
AMPL230394/chr8:57892438-57892707/8q	51	3	KMM1|MM1S|KMS11	0.8225806451612904	8q
AMPL230395/chr8:66620150-66620380/8q	38	3	KMM1|MM1S|KMS11	0.6129032258064516	8q
AMPL230396/chr8:72965769-72966038/8q	232	3	KMM1|MM1S|KMS11	3.7419354838709675	8q
AMPL230397/chr8:86389156-86389425/8q	59	3	KMM1|MM1S|KMS11	0.9516129032258065	8q
AMPL230398/chr8:95888066-95888335/8q	21	3	KMM1|MM1S|KMS11	0.3387096774193548	8q
AMPL230399/chr8:105509739-105510008/8q	138	3	KMM1|MM1S|KMS11	2.225806451612903	8q
AMPL230400/chr8:113662153-113662412/8q	64	3	KMM1|MM1S|KMS11	1.032258064516129	8q
AMPL230401/chr8:120582784-120583052/8q	32	3	KMM1|MM1S|KMS11	0.5161290322580645	8q
AMPL230402/chr8:126369774-126370035/8q	45	3	KMM1|MM1S|KMS11	0.7258064516129032	8q
AMPL230403/chr8:128750505-128750733/8q	269	3	KMM1|MM1S|KMS11	4.338709677419355	8q
AMPL230405/chr8:146015538-146015807/8q	15	3	KMM1|MM1S|KMS11	0.24193548387096775	8q
AMPL230406/chr9:2811264-2811530/9p	117	4	KMM1|MM1S|KMS11|OPM2	1.8870967741935485	9p
AMPL230407/chr9:5081531-5081800/9p	378.5	4	KMM1|MM1S|KMS11|OPM2	6.104838709677419	9p
AMPL230408/chr9:8389119-8389388/9p	40	4	KMM1|MM1S|KMS11|OPM2	0.6451612903225806	9p
AMPL230409/chr9:14775731-14775925/9p	4	4	KMM1|MM1S|KMS11|OPM2	0.06451612903225806	9p
AMPL230410/chr9:18504672-18504941/9p	34	4	KMM1|MM1S|KMS11|OPM2	0.5483870967741935	9p
AMPL230411/chr9:19471753-19472022/9p	13	4	KMM1|MM1S|KMS11|OPM2	0.20967741935483872	9p
AMPL230412/chr9:22447529-22447718/9p	13	4	KMM1|MM1S|KMS11|OPM2	0.20967741935483872	9p
AMPL230413/chr9:27202626-27202895/9p	220	4	KMM1|MM1S|KMS11|OPM2	3.5483870967741935	9p
AMPL230414/chr9:33026343-33026599/9p	170.5	4	KMM1|MM1S|KMS11|OPM2	2.75	9p
AMPL230415/chr9:36169351-36169620/9p	50	4	KMM1|MM1S|KMS11|OPM2	0.8064516129032258	9p
AMPL230416/chr9:37974500-37974764/9p	200	4	KMM1|MM1S|KMS11|OPM2	3.225806451612903	9p
AMPL230420/chr9:75545637-75545905/9q	221	3	KMM1|MM1S|OPM2	3.564516129032258	9q
AMPL230421/chr9:79985818-79986087/9q	39	3	KMM1|MM1S|OPM2	0.6290322580645161	9q
AMPL230423/chr9:89771387-89771643/9q	131	3	KMM1|MM1S|OPM2	2.1129032258064515	9q
AMPL230424/chr9:95888626-95888878/9q	7	3	KMM1|MM1S|OPM2	0.11290322580645161	9q
AMPL230425/chr9:100190545-100190814/9q	106	3	KMM1|MM1S|OPM2	1.7096774193548387	9q
AMPL230426/chr9:107560584-107560853/9q	60	3	KMM1|MM1S|OPM2	0.967741935483871	9q
AMPL230427/chr9:117852773-117853042/9q	46	3	KMM1|MM1S|OPM2	0.7419354838709677	9q
AMPL230428/chr9:127995911-127996100/9q	32	3	KMM1|MM1S|OPM2	0.5161290322580645	9q
AMPL230429/chr9:133738050-133738312/9q	24	3	KMM1|MM1S|OPM2	0.3870967741935484	9q
AMPL230430/chr9:139794675-139794944/9q	134	3	KMM1|MM1S|OPM2	2.161290322580645	9q
AMPL230433/chr10:1717120-1717389/10p	161	1	MM1S	2.596774193548387	10p
AMPL230434/chr10:5496785-5497054/10p	36	1	MM1S	0.5806451612903226	10p
AMPL230435/chr10:7762647-7762916/10p	74	1	MM1S	1.1935483870967742	10p
AMPL230439/chr10:20290519-20290788/10p	33	1	MM1S	0.532258064516129	10p
AMPL230441/chr10:28228702-28228892/10p	5	1	MM1S	0.08064516129032258	10p
AMPL230442/chr10:33015618-33015830/10p	12	1	MM1S	0.1935483870967742	10p
AMPL230444/chr10:43280843-43281110/10q	49	4	KMM1|MM1S|KMS11|OPM2	0.7903225806451613	10q
AMPL230445/chr10:47000036-47000305/10q	222	4	KMM1|MM1S|KMS11|OPM2	3.5806451612903225	10q
AMPL230446/chr10:54074509-54074776/10q	58	4	KMM1|MM1S|KMS11|OPM2	0.9354838709677419	10q
AMPL230447/chr10:64945171-64945394/10q	10	4	KMM1|MM1S|KMS11|OPM2	0.16129032258064516	10q
AMPL230448/chr10:69773602-69773864/10q	58	4	KMM1|MM1S|KMS11|OPM2	0.9354838709677419	10q
AMPL230449/chr10:73455128-73455388/10q	37	4	KMM1|MM1S|KMS11|OPM2	0.5967741935483871	10q
AMPL230451/chr10:84745012-84745277/10q	227	4	KMM1|MM1S|KMS11|OPM2	3.661290322580645	10q
AMPL230452/chr10:88730095-88730339/10q	51	4	KMM1|MM1S|KMS11|OPM2	0.8225806451612904	10q
AMPL230453/chr10:93607910-93608170/10q	16	4	KMM1|MM1S|KMS11|OPM2	0.25806451612903225	10q
AMPL230454/chr10:99219641-99219910/10q	87	4	KMM1|MM1S|KMS11|OPM2	1.403225806451613	10q
AMPL230455/chr10:105940924-105941193/10q	265	4	KMM1|MM1S|KMS11|OPM2	4.274193548387097	10q
AMPL230456/chr10:114200112-114200378/10q	123	4	KMM1|MM1S|KMS11|OPM2	1.9838709677419355	10q
AMPL230457/chr10:121551369-121551602/10q	61	4	KMM1|MM1S|KMS11|OPM2	0.9838709677419355	10q
AMPL230458/chr10:128974383-128974643/10q	59	4	KMM1|MM1S|KMS11|OPM2	0.9516129032258065	10q
AMPL230461/chr11:7324340-7324609/11p	65	3	KMM1|MM1S|KMS11	1.0483870967741935	11p
AMPL230462/chr11:10555350-10555619/11p	109	3	KMM1|MM1S|KMS11	1.7580645161290323	11p
AMPL230463/chr11:17418528-17418797/11p	213	3	KMM1|MM1S|KMS11	3.435483870967742	11p
AMPL230464/chr11:20104423-20104690/11p	181	3	KMM1|MM1S|KMS11	2.9193548387096775	11p
AMPL230465/chr11:26705064-26705333/11p	18	3	KMM1|MM1S|KMS11	0.2903225806451613	11p
AMPL230466/chr11:30353068-30353324/11p	35	3	KMM1|MM1S|KMS11	0.5645161290322581	11p
AMPL230467/chr11:32125724-32125983/11p	78	3	KMM1|MM1S|KMS11	1.2580645161290323	11p
AMPL230468/chr11:36458732-36458995/11p	199	3	KMM1|MM1S|KMS11	3.2096774193548385	11p
AMPL230469/chr11:40137296-40137565/11p	82	3	KMM1|MM1S|KMS11	1.3225806451612903	11p
AMPL230471/chr11:48346777-48347046/11p	161	3	KMM1|MM1S|KMS11	2.596774193548387	11p
AMPL230472/chr11:56057951-56058220/11q	107	2	MM1S|RPMI8226	1.7258064516129032	11q
AMPL230474/chr11:67431871-67432110/11q	37	2	MM1S|RPMI8226	0.5967741935483871	11q
AMPL230475/chr11:73074176-73074445/11q	3	2	MM1S|RPMI8226	0.04838709677419355	11q
AMPL230476/chr11:78369153-78369419/11q	76	2	MM1S|RPMI8226	1.2258064516129032	11q
AMPL230477/chr11:82921157-82921400/11q	82	2	MM1S|RPMI8226	1.3225806451612903	11q
AMPL230479/chr11:92523111-92523380/11q	81	2	MM1S|RPMI8226	1.3064516129032258	11q
AMPL230480/chr11:103780208-103780477/11q	51	2	MM1S|RPMI8226	0.8225806451612904	11q
AMPL230481/chr11:108117611-108117868/11q	135	2	MM1S|RPMI8226	2.1774193548387095	11q
AMPL230482/chr11:108119562-108119825/11q	15	2	MM1S|RPMI8226	0.24193548387096775	11q
AMPL230483/chr11:108384001-108384263/11q	24	2	MM1S|RPMI8226	0.3870967741935484	11q
AMPL230484/chr11:114421625-114421894/11q	101.5	2	MM1S|RPMI8226	1.6370967741935485	11q
AMPL230485/chr11:120200518-120200787/11q	100	2	MM1S|RPMI8226	1.6129032258064515	11q
AMPL230486/chr11:125848024-125848282/11q	26	2	MM1S|RPMI8226	0.41935483870967744	11q
AMPL230487/chr11:134239500-134239723/11q	17	2	MM1S|RPMI8226	0.27419354838709675	11q
AMPL230488/chr12:311702-311971/12p	9	4	KMM1|MM1S|KMS11|RPMI8226	0.14516129032258066	12p
AMPL230489/chr12:2958262-2958517/12p	99	4	KMM1|MM1S|KMS11|RPMI8226	1.596774193548387	12p
AMPL230491/chr12:9833390-9833659/12p	55	4	KMM1|MM1S|KMS11|RPMI8226	0.8870967741935484	12p
AMPL230492/chr12:11244028-11244290/12p	125	4	KMM1|MM1S|KMS11|RPMI8226	2.0161290322580645	12p
AMPL230493/chr12:14018585-14018798/12p	77	4	KMM1|MM1S|KMS11|RPMI8226	1.2419354838709677	12p
AMPL230494/chr12:16347096-16347333/12p	30	4	KMM1|MM1S|KMS11|RPMI8226	0.4838709677419355	12p
AMPL230495/chr12:20782666-20782928/12p	223.5	4	KMM1|MM1S|KMS11|RPMI8226	3.6048387096774195	12p
AMPL230496/chr12:25164117-25164386/12p	20	4	KMM1|MM1S|KMS11|RPMI8226	0.3225806451612903	12p
AMPL230497/chr12:25398060-25398324/12p	130	4	KMM1|MM1S|KMS11|RPMI8226	2.096774193548387	12p
AMPL230498/chr12:27066801-27067045/12p	39	4	KMM1|MM1S|KMS11|RPMI8226	0.6290322580645161	12p
AMPL230499/chr12:30833230-30833499/12p	164	4	KMM1|MM1S|KMS11|RPMI8226	2.6451612903225805	12p
AMPL230500/chr12:33578866-33579135/12p	91	4	KMM1|MM1S|KMS11|RPMI8226	1.467741935483871	12p
AMPL230501/chr12:39698502-39698751/12q	62	4	KMM1|KMS11|OPM2|RPMI8226	1	12q
AMPL230502/chr12:47471489-47471742/12q	51	4	KMM1|KMS11|OPM2|RPMI8226	0.8225806451612904	12q
AMPL230503/chr12:54970206-54970475/12q	84	4	KMM1|KMS11|OPM2|RPMI8226	1.3548387096774193	12q
AMPL230504/chr12:63195571-63195808/12q	86	4	KMM1|KMS11|OPM2|RPMI8226	1.3870967741935485	12q
